sound Sensor,soundLevel MAX4466,soundLevel MAX9814,Actual
68.80289,81.81445,70.41106,1
71.64503,82.20563,71.05919,1
74.30817,82.28052,70.36051,1
69.75001,82.31454,70.36051,1
69.78583,82.26346,70.86725,1
70.30609,82.20992,70.35455,1
68.0943,81.84586,70.55219,1
67.51054,81.24307,71.0894,1
66.98396,81.24307,70.44656,1
67.64877,81.29095,70.43178,1
71.10943,80.53041,70.35455,1
71.20102,81.78968,70.35753,1
68.30878,81.91057,70.35455,1
73.41423,82.22923,70.38433,1
69.38346,82.28477,70.66521,1
72.80487,81.65794,70.57841,1
73.66937,81.57053,70.35455,1
68.88258,82.07573,70.4966,1
69.60524,82.19703,70.4966,1
68.51809,81.50089,70.7483,1
67.03316,81.19975,70.35455,1
71.1706,81.53345,70.36051,1
65.82411,81.74901,70.35753,1
67.32272,81.39538,70.77676,1
68.51809,81.47755,70.49953,1
69.00076,81.60974,70.36051,1
70.37317,82.21851,70.37243,1
68.007,82.28052,70.59583,1
74.51798,81.57977,70.35156,1
71.07868,82.06045,70.73689,1
73.27184,82.29754,70.38731,1
69.42082,81.10026,70.35156,1
70.0325,81.63502,70.40809,1
74.26559,81.49856,70.40512,1
68.84283,80.87278,70.35753,1
71.64503,79.7226,71.33273,1
73.43774,82.02322,70.49953,1
70.10172,82.29754,70.45836,1
67.64877,82.27199,70.37243,1
69.92764,82.25491,71.30602,1
72.70328,82.2378,70.56968,1
72.03991,82.22066,70.44951,1
71.47014,82.25278,70.35156,1
73.50787,82.29967,70.5376,1
69.07866,82.29329,70.79097,1
73.00455,82.25919,70.40215,1
70.89188,81.97701,70.3426,1
71.47014,81.65565,70.3426,1
76.24212,80.0592,70.40512,1
73.0292,82.25919,70.36647,1
74.04951,81.17317,70.39027,1
71.78813,82.28477,70.49366,1
72.2038,81.86823,70.36349,1
72.77959,82.24208,70.77393,1
69.45802,82.14957,70.49073,1
70.06718,82.20778,70.64214,1
72.75423,82.29329,70.48779,1
67.73972,82.12141,70.36945,1
70.06718,82.31666,70.44951,1
69.96273,82.31029,70.53468,1
71.49953,82.28052,70.5376,1
68.72247,82.30817,70.35156,1
70.9546,81.84362,70.4436,1
68.51809,82.31029,70.34857,1
67.0821,80.51736,70.68821,1
68.35104,82.25491,70.34857,1
73.00455,81.01688,70.47897,1
71.26155,82.21851,70.35753,1
72.90529,82.16254,70.35156,1
73.82792,82.14308,70.34857,1
71.84471,82.28903,70.34857,1
70.43973,81.0292,70.43178,1
72.6777,82.22066,70.35455,1
72.14951,82.31454,70.67096,1
70.2385,81.78291,70.38731,1
72.03991,82.11273,70.35455,1
69.38346,81.85705,70.61323,1
68.60042,82.22066,70.48485,1
71.07868,82.04951,70.34559,1
72.33805,82.12141,70.49953,1
